Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
trending on twitter ,https://pbs.twimg.com/media/EvaJ9usWgAUOajk?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1366431233241210881,"Mar 1, 2021",60.0,88,1.3K,
truth.,https://pbs.twimg.com/media/EvXu092WgAEVFJj?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1366260657885237249,"Feb 28, 2021",35.0,341,2.5K,
BEAR MARKET,https://pbs.twimg.com/media/EvXmpGhXcAUZjQG?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1366251681873334273,"Feb 28, 2021",88.0,240,3.1K,
"damn, massive honor being sculpted by this absolute master. ",,@beeple,https://twitter.com/beeple/status/1366078819552145423,"Feb 28, 2021",44.0,97,2.9K,
DDOS,https://pbs.twimg.com/media/EvSdEnIXIAEs7FW?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1365889316677910530,"Feb 27, 2021",54.0,155,2.5K,
"35 MINUTES, GET YER MF FINGERS READY ",https://pbs.twimg.com/media/EvRRJ2GXcAI4iSJ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1365805819820965888,"Feb 27, 2021",104.0,52,903,
,https://pbs.twimg.com/media/EvRZKWSXUAUOUed?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1365814623618949133,"Feb 27, 2021",472.0,182,1.4K,
LESS THAN TWO HOURSSSSSSSS ,,@beeple,https://twitter.com/beeple/status/1365786191686213638,"Feb 27, 2021",51.0,53,710,
 ONE FUCKING DOLLAR ,,@beeple,https://twitter.com/beeple/status/1365754972340707330,"Feb 27, 2021",100.0,111,1.2K,
,https://pbs.twimg.com/media/EvMuSbZXIAAz2xF?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1365486096700891138,"Feb 26, 2021",73.0,233,2.7K,
$1 EDITION OF 105 ,https://pbs.twimg.com/media/EvMIvvmXAAQoe3x?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1365444731392638984,"Feb 26, 2021",116.0,99,1K,
