id,images/0,text,likes,replies,retweets,quotes,timestamp,url
1.20081507120046E+018,https://pbs.twimg.com/media/EKom7oBXYAA32cI.jpg,#everyday #cinema4d - CG EVENT,1034,11,72,4,2019-11-30T16:33:00.000Z,https://twitter.com/beeple/status/1200815071200460800
1.2004580484663E+018,https://pbs.twimg.com/media/EKjiOaDWsAAClTL.jpg,#everyday #cinema4d - MOSCOW,734,9,71,0,2019-11-29T16:54:00.000Z,https://twitter.com/beeple/status/1200458048466300932
1.19991154767978E+018,https://pbs.twimg.com/media/EKbxL6qXUAAo7pM.jpg,retweet if you would eat turkey hitler to save america. 🇺🇸,916,16,152,2,2019-11-28T04:43:00.000Z,https://twitter.com/beeple/status/1199911547679780864
1.19955170473748E+018,https://pbs.twimg.com/media/EKWp6jGXYAM8jWl.jpg,#everydays #cinema4d - TURKEY SAVIOR,981,6,114,10,2019-11-27T04:53:00.000Z,https://twitter.com/beeple/status/1199551704737484800
1.19944033173914E+018,,"download this FREE fucking dope textured / rigged model from @pixelurge for any use!!!!!!  bit.ly/35GB1b5    and go show that homie some love!!!   ❤️🙏❤️   

(CINEMA4D-OCTANE / BLENDER 2.81 / FBX)

#cinema4d #blender #BabyYoda",1565,39,235,42,2019-11-26T21:30:00.000Z,https://twitter.com/beeple/status/1199440331739140096
1.19918664800691E+018,https://pbs.twimg.com/media/EKRd5ZVW4AAtb_I.jpg,A PACK OF BABY YODAS EATING A JABBA CARCASS #everydays,6372,99,963,122,2019-11-26T04:42:00.000Z,https://twitter.com/beeple/status/1199186648006905856
1.1988242068107E+018,https://pbs.twimg.com/media/EKMUQqZX0AEZJmN.jpg,#everyday #cinema4d - TURQUOISE RAINBOW,1303,8,141,1,2019-11-25T04:42:00.000Z,https://twitter.com/beeple/status/1198824206810697728
1.19844143927498E+018,https://pbs.twimg.com/media/EKG4InMXkAAF2Xg.jpg,#everyday #cinema4d - GIANT BABY YODA MAD,1404,12,129,5,2019-11-24T03:21:00.000Z,https://twitter.com/beeple/status/1198441439274979328
1.19808270551216E+018,https://pbs.twimg.com/media/EKBx3pkWwAE-1dQ.jpg,#everyday #cinema4d - CRYSTAL CORTEX,1187,5,122,0,2019-11-23T03:35:00.000Z,https://twitter.com/beeple/status/1198082705512157186
1.19722534870793E+018,,#everydays POKÉMON RED,46425,319,11559,494,2019-11-20T18:49:00.000Z,https://twitter.com/beeple/status/1197225348707930112
