id,images/0,text,likes,replies,retweets,quotes,timestamp,url
1.19686139877867E+018,https://pbs.twimg.com/media/EJwbFiaUEAA54Od.jpg,#everyday #cinema4d - POP STYLE,1219,5,109,3,2019-11-19T18:42:00.000Z,https://twitter.com/beeple/status/1196861398778667008
1.19662989563323E+018,https://pbs.twimg.com/media/EJtIi3MUEAAh_te.jpg,#everyday #cinema4d - GOLDEN WATERBOARD,578,12,36,3,2019-11-19T03:22:00.000Z,https://twitter.com/beeple/status/1196629895633231877
1.1961748332618E+018,https://pbs.twimg.com/media/EJmqqo_UwAASX15.jpg,#everyday #cinema4d - UNCLE BERNIE'S TRILLION DOLLAR SUPERTEAT,598,12,39,2,2019-11-17T21:14:00.000Z,https://twitter.com/beeple/status/1196174833261801472
1.19588195636326E+018,https://pbs.twimg.com/media/EJigTAcVUAAUo1c.jpg,#everyday #cinema4d  GAN-POWERED MEAT HORSE,1374,6,127,1,2019-11-17T01:50:00.000Z,https://twitter.com/beeple/status/1195881956363259904
1.19554634243058E+018,https://pbs.twimg.com/media/EJdvD0nX0AYe2Gr.jpg,#everyday #cinema4d - BUZZ LIGHTNUKE,907,11,73,4,2019-11-16T03:37:00.000Z,https://twitter.com/beeple/status/1195546342430584833
1.19515534424844E+018,,"DOWNLOAD ALL CLIPS + #CINEMA4D PROJECT FILES:
beeple-crap.com

FREE FOR ANY COMMERCIAL / NONCOMMERCIAL USE❤️",1712,28,282,26,2019-11-15T01:43:00.000Z,https://twitter.com/beeple/status/1195155344248442880
1.1950961208354E+018,,yewtu.be/watch?v=hB6VQ82Y…,746,9,100,2,2019-11-14T21:48:00.000Z,https://twitter.com/beeple/status/1195096120835395584
1.1949912086423E+018,,🙏🙏🙏❤️🙏🙏🙏,43,1,0,0,2019-11-14T14:51:00.000Z,https://twitter.com/beeple/status/1194991208642297861
1.19473681721769E+018,,TRUE STORY.  ❤️❤️❤️,49,0,2,0,2019-11-13T22:00:00.000Z,https://twitter.com/beeple/status/1194736817217687553
1.19473015656644E+018,https://pbs.twimg.com/media/EJSIvizW4AIRIfD.jpg,yewtu.be/watch?v=hB6VQ82Y…,459,4,52,9,2019-11-13T21:34:00.000Z,https://twitter.com/beeple/status/1194730156566437889
1.19470305161927E+018,https://pbs.twimg.com/media/EJRwF4gWwAAgZ75.jpg,"MANIFEST DESTINY.  featuring @runjewels 

yewtu.be/watch?v=hB6VQ82Y…",581,8,63,4,2019-11-13T19:46:00.000Z,https://twitter.com/beeple/status/1194703051619274752
1.19468319932826E+018,,MANIFEST DESTINY - new short film featuring music by  @runjewels  💵💵💵 directrelief.org,4959,83,1168,100,2019-11-13T18:27:00.000Z,https://twitter.com/beeple/status/1194683199328260098
1.19447295859875E+018,https://pbs.twimg.com/media/EJOe0pdXsAA1fxS.jpg,#everyday #cinema4d - DISNEY+,2371,37,314,13,2019-11-13T04:32:00.000Z,https://twitter.com/beeple/status/1194472958598750209
1.19411693913785E+018,https://pbs.twimg.com/media/EJJbBnCWwAAbET3.jpg,#everyday #cinema4d - FRAGILE EXISTENCE,1407,8,141,1,2019-11-12T04:57:00.000Z,https://twitter.com/beeple/status/1194116939137851393
1.19362604205076E+018,https://pbs.twimg.com/media/EIoGfQyXkAYJI_i.jpg,don't let this terrifying invite stop you from coming. 🎃,67,0,2,0,2019-11-10T20:26:00.000Z,https://twitter.com/beeple/status/1193626042050760704
1.19338993367272E+018,https://pbs.twimg.com/media/EI_F0ZRWsAAxdWD.jpg,#everyday #cinema4d - FORGOTTEN CULTURE,1300,8,108,2,2019-11-10T04:48:00.000Z,https://twitter.com/beeple/status/1193389933672718344
1.19302342765496E+018,https://pbs.twimg.com/media/EI54e2zX0AA3tNM.jpg,#everyday #cinema4d - BABYLON,1843,19,229,4,2019-11-09T04:32:00.000Z,https://twitter.com/beeple/status/1193023427654963201
1.19281506038682E+018,,process. #everydays,1250,16,108,7,2019-11-08T14:44:00.000Z,https://twitter.com/beeple/status/1192815060386820096
1.1926645444071E+018,https://pbs.twimg.com/media/EI0yFK0WwAASEAK.jpg,#everyday #cinema4d - REVENGE,1093,13,78,3,2019-11-08T04:46:00.000Z,https://twitter.com/beeple/status/1192664544407097345
1.1925294675724E+018,,💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵 new short in four days.,339,7,2,2,2019-11-07T19:49:00.000Z,https://twitter.com/beeple/status/1192529467572400128
1.1924487155687E+018,,sponsored by ham and cheese hotpockets.,1489,19,143,8,2019-11-07T14:28:00.000Z,https://twitter.com/beeple/status/1192448715568697345
1.19229115611531E+018,https://pbs.twimg.com/media/EIvee-_XkAEn6Lr.jpg,#everydays #cinema4d - POKÉMON RED,1819,42,197,21,2019-11-07T04:02:00.000Z,https://twitter.com/beeple/status/1192291156115312640
1.19193643227069E+018,https://pbs.twimg.com/media/EIqb3NEX0AMe_Ve.jpg,#everyday #cinema4d - LEFT ON READ,1581,8,165,5,2019-11-06T04:32:00.000Z,https://twitter.com/beeple/status/1191936432270692353
1.1918224456632E+018,https://pbs.twimg.com/media/EIoGfQyXkAYJI_i.jpg,"HAHAHAHAHA, horrifying.   😱😱😱  come hang tho! :)",46,2,0,0,2019-11-05T20:59:00.000Z,https://twitter.com/beeple/status/1191822445663195136
1.1918223195992E+018,,DENVERRRRRRRRRRRRRRRRRRRR!!!!1  💥💥💥,12,0,0,0,2019-11-05T20:59:00.000Z,https://twitter.com/beeple/status/1191822319599202306
1.1915529270114E+018,https://pbs.twimg.com/media/EIk_EQiW4AA8LG3.jpg,#everyday #cinema4d - LONG WAY HOME,1329,8,126,0,2019-11-05T03:08:00.000Z,https://twitter.com/beeple/status/1191552927011397632
1.19118035470874E+018,https://pbs.twimg.com/media/EIfsN60X0AYp8Vv.jpg,#everyday #cinema4d - BAD BREATH,816,0,54,2,2019-11-04T02:28:00.000Z,https://twitter.com/beeple/status/1191180354708738048
1.19081708190796E+018,https://pbs.twimg.com/media/EIah0prXYAEaPH4.jpg,#everyday #cinema4d - BAD ROBOT,1620,6,153,2,2019-11-03T02:24:00.000Z,https://twitter.com/beeple/status/1190817081907957761
1.1904527969083E+018,https://pbs.twimg.com/media/EIVWgesWwAI92lD.jpg,#everyday #cinema4d - SYNTHETIC CHROMOSOME,798,9,74,0,2019-11-02T02:17:00.000Z,https://twitter.com/beeple/status/1190452796908298240
1.19008563474201E+018,https://pbs.twimg.com/media/EIQIk2eXYAEVxGH.jpg,#everyday #cinema4d - HAPPY HALLOWEEN!! 🎃,669,18,43,5,2019-11-01T01:58:00.000Z,https://twitter.com/beeple/status/1190085634742005760
