everyday,Contenido,Contenido2,Imagen,Usuario,URL,fecha,comentarios,retweet,like
#everyday, , - IT'S GONNA BE OK,https://pbs.twimg.com/media/DSaRtMcU8AEYcIJ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/947605585532506114,"Dec 31, 2017",3,155,774
#everyday, , - DARK SUN SUPERNOVA 8,https://pbs.twimg.com/media/DSWBB9iXUAAVDm9?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/947305322531643392,"Dec 30, 2017",3,82,558
#EVERYDAY, , - HOT.TUNL,https://pbs.twimg.com/media/DSRYjLiW0AAVK3E?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/946979412263735296,"Dec 29, 2017",3,66,401
#EVERYDAY, , - GOLD RITUAL,https://pbs.twimg.com/media/DSMNZjjX0AIUT6Q?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/946615752911736832,"Dec 28, 2017",2,14,203
,SELF PORTRAIT  --  done using , for a new program called 'Start with Stock'.  A lot of people come to me asking about inspiration and i say USE ANYTHING.,https://pbs.twimg.com/media/DSJoxiaXUAAXVnA?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/946435296643764224,"Dec 28, 2017",5,17,229
#everyday, , - TRYPTTTT,https://pbs.twimg.com/media/DSFr3MkXcAAlkvy?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/946157137931177984,"Dec 27, 2017",6,92,718
#everyday, , - NEW DAWN,https://pbs.twimg.com/media/DSBz9e7X0AEOfv3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/945883495880187904,"Dec 26, 2017",4,70,539
#everyday, , - NEGATIVE TWO,https://pbs.twimg.com/media/DR8Nb2tUEAAbrR6?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/945490128725856256,"Dec 25, 2017",39,39,388
,GET DAT TIXXXXXX   ,,,@beeple,https://twitter.com/beeple/status/945841819807559685,"Dec 26, 2017",2,2,12
#everyday, , - XMAS AF,https://pbs.twimg.com/media/DR3cgqeVQAAzE2O?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/945154236576337920,"Dec 24, 2017",2,99,552
