Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
DISPOSABLE ART,https://pbs.twimg.com/media/FqG-aywXgAAh6w9?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1630794230376308737,"Feb 28, 2023",106,281,2.3K,98K
,https://pbs.twimg.com/media/FqEA5R5acAAVui5?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1630611193621626903,"Feb 28, 2023",13,16,175,49K
PEPES TO THE MOON ,https://pbs.twimg.com/media/FqB1mGKXgAABt_-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1630432367255908355,"Feb 27, 2023",304,1K,5.1K,238K
logan paul using the healing power of PRIME to resurrect his brother,https://pbs.twimg.com/media/Fp8sCIvXsAEnW2q?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1630070010566647808,"Feb 26, 2023",145,574,6.1K,395K
"Full list of artists being featured at the studio opening coming this week!!!! 

Sooo many dope people!!! ",https://pbs.twimg.com/media/Fpp9IEMWIAId_R7?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1629836126352465920,"Feb 26, 2023",42,51,394,82K
DIFFUSION,https://pbs.twimg.com/media/Fp3ia9eWwAEg8Kt?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1629707597510000641,"Feb 25, 2023",78,172,1.3K,88K
NEW MODEL,https://pbs.twimg.com/media/FpyY23VWwAAqi1c?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1629345238434062336,"Feb 24, 2023",48,109,852,64K
ALL EYES,https://pbs.twimg.com/media/FptO5KSWYAIx9Ez?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1628982440160120832,"Feb 23, 2023",131,234,2.2K,108K
"holy shit!!!!!! 

THIS is the type of killer app that will actually get you wear a face-computer (AR) all day…",,@beeple,https://twitter.com/beeple/status/1628952185617653762,"Feb 23, 2023",66,120,803,124K
this is what generative art look liked 15 years ago.... ,,@beeple,https://twitter.com/beeple/status/1628545217514115075,"Feb 22, 2023",38,65,489,112K
SEVENTY-TWO APES,https://pbs.twimg.com/media/FpoEwljWAAA5Ibg?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1628619650635382786,"Feb 22, 2023",158,304,2.2K,194K
