Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
CODE-404,https://pbs.twimg.com/media/F46VlftWMAASAem?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1697459024071905519,"Aug 31, 2023",266,388,2.5K,205K
RETIRE BRO.,https://pbs.twimg.com/media/F41Lh43WEAAF6bc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1697095796733173997,"Aug 30, 2023",275,404,3.5K,299K
RESIST,https://pbs.twimg.com/media/F4wCg-SXMAAisY3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1696733930198585349,"Aug 29, 2023",275,348,2.7K,194K
punks are expensive af.  i get it. ,https://pbs.twimg.com/media/F4tytqIXcAor2rF?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1696576299844706474,"Aug 29, 2023",234,173,1.1K,206K
in retrospect you probably don’t want your kids looking at my art. ,,@beeple,https://twitter.com/beeple/status/1696515969949069471,"Aug 29, 2023",116,39,566,126K
doing what I can to make our internet culture part of the canon of art history. ,,@beeple,https://twitter.com/beeple/status/1696245316381552657,"Aug 28, 2023",159,101,1.1K,139K
BUSTED,https://pbs.twimg.com/media/F4q48gsWUAASTLs?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1696371564046893087,"Aug 28, 2023",488,1.6K,3K,181K
REBUILD ,https://pbs.twimg.com/media/F4li8VmWcAE-c-c?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1695995528654336281,"Aug 27, 2023",322,504,3K,156K
FUCK IT.,https://pbs.twimg.com/media/F4f6K3SXgAApSYn?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1695598884339278152,"Aug 26, 2023",525,578,3.3K,196K
xx \ yy,https://pbs.twimg.com/media/F4bL9lkWsAArtAk?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1695266615565160619,"Aug 25, 2023",302,106,1K,88K
TRUMP MUGSHOT,https://pbs.twimg.com/media/F4WR8XKWMAAWH4E?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1694921356813471975,"Aug 24, 2023",214,257,2.2K,109K
FUCK YESSSS,,@beeple,https://twitter.com/beeple/status/1694857639660753306,"Aug 24, 2023",172,155,1.1K,152K
GROUP DISCOUNT,https://pbs.twimg.com/media/F4RIj16XEAA1_Lw?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1694559266982502618,"Aug 23, 2023",215,144,1.5K,109K
NFT MARKET,https://pbs.twimg.com/media/F4L_Xo5WYAAgwcm?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1694197340016435407,"Aug 22, 2023",356,568,3.2K,151K
fast forward to 2053 though... ,https://pbs.twimg.com/media/F4G15IbWoAAO1Bp?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1693835223241273768,"Aug 21, 2023",247,163,1.4K,127K
"asked google bard to write me some tweets about NFT market right now...  

mf really went for the throat on these... ",https://pbs.twimg.com/media/F4KC_lgWAAAh_NX?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1694060761176265038,"Aug 22, 2023",306,93,956,117K
buying an NFT in 2023,https://pbs.twimg.com/media/F4BsOL8X0AENDAP?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1693472640445411583,"Aug 20, 2023",682,921,5.3K,343K
g-frigg’n-m,,@beeple,https://twitter.com/beeple/status/1693702295958003766,"Aug 21, 2023",89,31,485,73K
"sorry guys, normies not doing shit like this.  

If we want to GROW the overall user base we need to focus on SIMPLICITY.",https://pbs.twimg.com/media/F3-vzzzWAAAK1yX?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1693265292774834561,"Aug 20, 2023",636,332,2.4K,438K
"imagine if buying a Fortnite skin was as complicated as buying an NFT…

how many would they have sold??",https://pbs.twimg.com/media/F4BRO48XwAA_zNK?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1693442779475579250,"Aug 20, 2023",337,166,1.6K,243K
FRIENDTECH GRAND OPENING,https://pbs.twimg.com/media/F38TCRKW4AEZygQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1693092983590052182,"Aug 19, 2023",454,647,4K,284K
this is what everyone is all jacked about?!  ,https://pbs.twimg.com/media/F35_C7gXEAA-lSW?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1692930201926217867,"Aug 19, 2023",152,16,408,123K
massive honor coming from you ser. ,,@beeple,https://twitter.com/beeple/status/1692962893191323996,"Aug 19, 2023",62,28,616,83K
YUGA VS. OPENSEA,https://pbs.twimg.com/media/F32fdZ6WMAAbxN_?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1692684368156713300,"Aug 18, 2023",453,1.2K,5.2K,294K
almost exactly a year ago… still true today... ,,@beeple,https://twitter.com/beeple/status/1692592125102157912,"Aug 18, 2023",61,21,316,65K
"thanks much ser!!  love the juice pic, lol ",,@beeple,https://twitter.com/beeple/status/1692535747612488037,"Aug 18, 2023",43,12,142,51K
CRASH TEST,https://pbs.twimg.com/media/F3yPmAsWoAAScfk?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1692385602795106611,"Aug 17, 2023",315,578,4.1K,196K
are we being lied to?,https://pbs.twimg.com/media/F3tF7vjWMAA5_EQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1692023218767323584,"Aug 16, 2023",384,398,3.1K,159K
HAWAII ,https://pbs.twimg.com/media/F3n8Ft2XQAAR3sA?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1691660671996264687,"Aug 15, 2023",149,182,1.7K,93K
"LOL, the memories. ",https://pbs.twimg.com/media/F3iLPSebwAAhaiK?format=jpg&name=360x360,@beeple,https://twitter.com/beeple/status/1691473197030354944,"Aug 15, 2023",82,48,316,63K
trump now facing 6000 years ( if convicted,https://pbs.twimg.com/media/F3iyHB3WgAAw24-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1691297907448713217,"Aug 14, 2023",187,216,1.9K,126K
 THIS. ,,@beeple,https://twitter.com/beeple/status/1691256179790323712,"Aug 14, 2023",54,50,544,82K
"Cryptopunks has inspired an INSANE amount of artwork. 

to help celebrate this massive influence on digital art we are are calling on EVERYONE to share their CryptoPunks inspired artwork for the event at Beeple Studios!!

we wanted to make this dead simple so anyone can…",https://pbs.twimg.com/media/F3goVioWMAgvxkv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1691146216636035083,"Aug 14, 2023",1.1K,755,2.4K,432K
TOUCHING GRASS,https://pbs.twimg.com/media/F3YD1zLW8AAjgcq?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1690543072738684928,"Aug 12, 2023",356,953,4K,228K
WARM BATH,https://pbs.twimg.com/media/F3S_gRJWoAAStsS?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1690186325238915072,"Aug 11, 2023",147,186,1.9K,96K
NEW COOL THING,https://pbs.twimg.com/media/F3OMVybWYAE4-Im?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1689848893767368704,"Aug 10, 2023",366,363,2.7K,155K
REKT,https://pbs.twimg.com/media/F3JDA9AW4AEvbIV?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1689486498301616128,"Aug 9, 2023",269,443,2.9K,160K
 well said sers!!! Honored to be working with you to educate a wider audience about the value of digital art!!! ,,@beeple,https://twitter.com/beeple/status/1689649175242366978,"Aug 10, 2023",32,14,148,53K
BRAND LOYALTY,https://pbs.twimg.com/media/F3D5FfaXsAAn8l9?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1689123737986076675,"Aug 8, 2023",232,246,1.9K,136K
