Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
COVID-COCKPIT (FREE ZOOM BACKGROUND)  ,,@beeple,https://twitter.com/beeple/status/1255876628846182402,"Apr 30, 2020",32,653,3.7K,
NEVERMIND,https://pbs.twimg.com/media/EW0lS3WWoAE-DTS?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1255701166450769920,"Apr 29, 2020",19,155,1.6K,
MR. SUICIDEBEEP   ,https://pbs.twimg.com/media/EWtt5zzXsAc-1mU?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1255217949788561410,"Apr 28, 2020",15,71,992,
"LIVE NOWWWWWWWWWW!!!!!!!!11111111111111
  ",,@beeple,https://twitter.com/beeple/status/1255194624345456640,"Apr 28, 2020",3,3,54,
JONG v2.0,https://pbs.twimg.com/media/EWqHNnLXYAAD2oI?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1254964257973768192,"Apr 27, 2020",26,438,3.3K,
KARMA IS A BITCH ,https://pbs.twimg.com/media/EWk8zsyWoAEYIF7?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1254600853186543617,"Apr 26, 2020",21,277,2.5K,
ETERNAL JONG-UN,https://pbs.twimg.com/media/EWgFdlmXgAAKpur?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1254258777622265856,"Apr 25, 2020",15,258,2.2K,
TOMORROW 2PM EST.  COME HANGZ.  ,,@beeple,https://twitter.com/beeple/status/1254832609076658176,"Apr 27, 2020",1,7,84,
LYSOL DRIP,https://pbs.twimg.com/media/EWa5M6yXYAMhCtS?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1253895581858181121,"Apr 24, 2020",119,1.9K,9.8K,
TIGER KIM JONG ZOOM,https://pbs.twimg.com/media/EWU00w4WkAMa3Qy?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1253466480668299269,"Apr 23, 2020",41,223,1.9K,
"ON LIVE NOW!!!!!!!!!  
",,@beeple,https://twitter.com/beeple/status/1253449801561235456,"Apr 23, 2020",1,4,44,
"doing my everyday LIVE TODAY!!   6PM EST 
",,@beeple,https://twitter.com/beeple/status/1253330911203962880,"Apr 23, 2020",1,35,319,
FINAL EARTH DAY,https://pbs.twimg.com/media/EWQmjTZXgAAxWGd?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1253169016618786816,"Apr 22, 2020",7,179,1.9K,
KIM JONG-UN POST SURGERY,,@beeple,https://twitter.com/beeple/status/1252608013418061824,"Apr 21, 2020",104,1.2K,6K,
HOTPOCKETS BIO-WARFARE LABORATORY,https://pbs.twimg.com/media/EWGIjMgVcAEI2p3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1252432541086126081,"Apr 20, 2020",18,378,2.8K,
"THURDSDAYYYYYYYYYYY  - come hang.  will be doing my pic live, looking for art direction from audience.  ",https://pbs.twimg.com/media/EVQcat1U4AIjbyb?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1252233490491478016,"Apr 20, 2020",4,6,175,
