Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
,https://pbs.twimg.com/media/EltZANAW0AADUO3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1322748824788606979,"Oct 31, 2020",26,90,1.5K,
30 MINUTES! ,,@beeple,https://twitter.com/beeple/status/1322667864009117707,"Oct 31, 2020",9,3,52,
AUCTION ENDS IN 90 MINUTES,,@beeple,https://twitter.com/beeple/status/1322653927452692483,"Oct 31, 2020",10,58,622,
,,@beeple,https://twitter.com/beeple/status/1322644644593807360,"Oct 31, 2020",6,2,81,
,,@beeple,https://twitter.com/beeple/status/1322640656179859458,"Oct 31, 2020",3,,26,
be careful guys!!! ,https://pbs.twimg.com/media/ElqvhnRX0AEjttu?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1322562436440969218,"Oct 31, 2020",22,18,498,
,https://pbs.twimg.com/media/ElqpcVPX0AEeiJg?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1322555749747331072,"Oct 31, 2020",30,116,2K,
"AUCTION ENDS 7PM EST!!!1111
",,@beeple,https://twitter.com/beeple/status/1322606650692427777,"Oct 31, 2020",12,32,377,
,https://pbs.twimg.com/media/EloOV3RXEAcJttX?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1322385254917771265,"Oct 30, 2020",17,126,1.6K,
Uncle jessie crushing it in the secondary market ,,@beeple,https://twitter.com/beeple/status/1322337256858886145,"Oct 30, 2020",12,16,421,
,,@beeple,https://twitter.com/beeple/status/1322320565202526209,"Oct 30, 2020",25,25,460,
"HAHAHAH, too kind sir!!  ",,@beeple,https://twitter.com/beeple/status/1322251851086073856,"Oct 30, 2020",1,1,44,
"

7 MINUTES.",,@beeple,https://twitter.com/beeple/status/1322310620386045957,"Oct 30, 2020",18,7,119,
,,@beeple,https://twitter.com/beeple/status/1322209019793199105,"Oct 30, 2020",8,26,290,
TONIGHT 7PM EST,,@beeple,https://twitter.com/beeple/status/1322171548837515265,"Oct 30, 2020",26,173,1.5K,
"""POLITICS IS BULLSHIT""  $1 / EDITION OF 100 
",,@beeple,https://twitter.com/beeple/status/1321993807202799616,"Oct 29, 2020",30,122,1K,
