Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
IT MUST BE ITALIAN,https://pbs.twimg.com/media/E-N-L98WQAIkdbv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1433128019573592073,"Sep 1, 2021",141,201,3.4K,
Hahahhahaha WAGMI ,https://pbs.twimg.com/media/E-KXrI7WEAcPqpV?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1432986405379190785,"Sep 1, 2021",43,77,865,
DEPRECATED EARTH,https://pbs.twimg.com/media/E-EuBw6XIAMhEf3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1432477332384722946,"Aug 30, 2021",95,225,3K,
MUTANT BUZZ APE CLUB,https://pbs.twimg.com/media/E9_lb-EX0AI00T8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1432115528013959176,"Aug 29, 2021",163,316,4.2K,
GAS WAR,https://pbs.twimg.com/media/E96_uR4WYAAjqJc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1431792616769732612,"Aug 28, 2021",84,140,2.1K,
LOST CHILD,https://pbs.twimg.com/media/E92WRZ7WYAAV5fd?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1431466358999498758,"Aug 27, 2021",100,232,3.2K,
FOREVER WAR,https://pbs.twimg.com/media/E9xNNroXIAEAr16?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1431103951278157824,"Aug 26, 2021",200,762,6.8K,
"was great meeting, appreciate the kind words here brother!! Still early days. ",,@beeple,https://twitter.com/beeple/status/1431407242759262208,"Aug 27, 2021",21,11,242,
50K,https://pbs.twimg.com/media/E9sDa-9XMAMiUnH?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1430741560912719879,"Aug 25, 2021",143,324,4.2K,
EPISODE ONE,,@beeple,https://twitter.com/beeple/status/1430379177040044040,"Aug 24, 2021",382,516,5.2K,
ok so i'm cleary a little new to this bidding thing. LOL ,https://pbs.twimg.com/media/E9mlWquXIAEelhw?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1430356404120981505,"Aug 24, 2021",214,70,1.2K,
when your jpegs don’t fit on the pj ,,@beeple,https://twitter.com/beeple/status/1430180761152409600,"Aug 24, 2021",77,72,1.3K,
 amazing to see traditional artists enter the space in such a well thought out and crafted way ,,@beeple,https://twitter.com/beeple/status/1430020424000327681,"Aug 23, 2021",38,38,318,
FATALITY,https://pbs.twimg.com/media/E9hwZheXIAIYAzH?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1430016807818121219,"Aug 23, 2021",98,605,5.9K,
SACRED HOMER TREE,https://pbs.twimg.com/media/E9cmeOKWYAIhBhb?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1429653785652125702,"Aug 22, 2021",138,435,5.3K,
THOUGHT BUBBLE,https://pbs.twimg.com/media/E9XdGvSXEAYwyfo?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1429291604104388608,"Aug 21, 2021",111,342,4.3K,
Hahahahhah wtf ,https://pbs.twimg.com/media/E9V5RdrVEAMRT_O?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1429228610867634180,"Aug 21, 2021",73,109,2.6K,
UPROOTING,https://pbs.twimg.com/media/E9SEAASWEAIjXCU?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1428912194847129602,"Aug 20, 2021",68,223,3K,
,,,,,,,,
LES DEMOISELLES D’AVIGNON 2021,https://pbs.twimg.com/media/E9NKVPiWYAIy7Pv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1428567246738165762,"Aug 19, 2021",72,176,2.1K,
HAHAHAHAHHA ,,@beeple,https://twitter.com/beeple/status/1428127975275380738,"Aug 18, 2021",148,298,3.1K,
great article on the promise of digital art ,,@beeple,https://twitter.com/beeple/status/1428700619603382283,"Aug 20, 2021",37,59,303,
FLOOR PUNKS,https://pbs.twimg.com/media/E9E9lLSXsAcTSVf?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1427990297565347843,"Aug 18, 2021",251,737,8.4K,
TULIP SEASON,https://pbs.twimg.com/media/E9C1AXIXoAQAS5l?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1427840663517794312,"Aug 17, 2021",111,262,3.2K,
,,@beeple,https://twitter.com/beeple/status/1427838036843376644,"Aug 17, 2021",10,7,121,
 ,,@beeple,https://twitter.com/beeple/status/1427732514756562951,"Aug 17, 2021",26,26,578,
DEVOLVE,https://pbs.twimg.com/media/E89tjUgXoAIAdKb?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1427480179954307073,"Aug 16, 2021",155,634,6K,
DISCORD COMMUNITY AMA ,https://pbs.twimg.com/media/E84jvn2XMAEnyBi?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1427117695510659077,"Aug 15, 2021",215,549,5K,
PUDGY PENGUINS EATING CHROMIE SQUIGGLES,https://pbs.twimg.com/media/E8zO3MAWYAAUMkv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1426742802319355904,"Aug 14, 2021",433,1K,8.2K,
will be doing an AMA this Sunday in the collectors channel of the discord!!  If you own one of my NFT’s come hang Sunday night at 8pm EST!!! ,,@beeple,https://twitter.com/beeple/status/1426583075794952197,"Aug 14, 2021",29,25,172,
GOLDEN RATIO,https://pbs.twimg.com/media/E8uU6c3XsAEbFEN?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1426397452547067908,"Aug 13, 2021",147,292,3.6K,
TRIPTYCH,https://pbs.twimg.com/media/E8pFES8WUAEpezg?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1426028824203079684,"Aug 12, 2021",92,243,2.6K,
ALBATROSS,https://pbs.twimg.com/media/E8j9CxUWQAAlgsp?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1425667611669434377,"Aug 11, 2021",95,153,2.2K,
THIRST TRAP,https://pbs.twimg.com/media/E8ezyHnXoAMKOBE?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1425305503501062147,"Aug 10, 2021",64,115,1.9K,
404 ERROR,https://pbs.twimg.com/media/E8ZnbkNWUA0F8_f?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1424940948363128833,"Aug 9, 2021",133,534,6K,
RARE PEPE,https://pbs.twimg.com/media/E8UggimX0AAhddz?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1424580646266187779,"Aug 8, 2021",299,484,5.4K,
 ,,@beeple,https://twitter.com/beeple/status/1424437189140795396,"Aug 8, 2021",25,15,217,
i hope u used the underwear included!!!! ,,@beeple,https://twitter.com/beeple/status/1424387841702993923,"Aug 8, 2021",44,47,687,
,,@beeple,https://twitter.com/beeple/status/1424523442150416386,"Aug 8, 2021",22,6,155,
,,@beeple,https://twitter.com/beeple/status/1424384208370380801,"Aug 8, 2021",24,7,258,
DELTA VARIANT,https://pbs.twimg.com/media/E8PXC6NXIAA8wqu?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1424218669035446277,"Aug 7, 2021",107,604,6.3K,
OCULUS RIFT,https://pbs.twimg.com/media/E8JUBXlWQAMIQo1?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1423793630230286336,"Aug 6, 2021",64,126,2.1K,
AMAZON ALEXA GIGAFACTORY,https://pbs.twimg.com/media/E8FDvA7XMAEofQZ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1423493604497035265,"Aug 5, 2021",80,370,4.3K,
DIFFUSE COLOR,https://pbs.twimg.com/media/E7_6EAuXoAIElv8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1423131392146280449,"Aug 4, 2021",108,404,4.6K,
"Honored to have my work at SS19 featured as one of the 200 Moments highlighted on the founder's 200th birthday.

Play LV's mobile game - you might win their first NFTs by playing it ;) ",,@beeple,https://twitter.com/beeple/status/1422985494221164546,"Aug 4, 2021",107,248,2.6K,
THE PASSION OF THE JPG,https://pbs.twimg.com/media/E76w11LWYAI4ad1?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1422769038892191744,"Aug 3, 2021",90,249,3.1K,
META,https://pbs.twimg.com/media/E71nJ-GWUHsS7_2?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1422406590490152961,"Aug 2, 2021",99,220,2.6K,
,,@beeple,https://twitter.com/beeple/status/1422706344419790848,"Aug 3, 2021",27,32,259,
INNER JOURNEY,https://pbs.twimg.com/media/E7wc8anXIAE9sOt?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1422043433745752066,"Aug 1, 2021",82,310,3.5K,
PHOTONS SPILLED,https://pbs.twimg.com/media/E7rhZw8XIAA90J4?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1421696961997070339,"Jul 31, 2021",54,155,2.4K,
CHROMO HARVEST,,@beeple,https://twitter.com/beeple/status/1421334579114352648,"Jul 30, 2021",125,234,4.2K,
ODYSSEY,https://pbs.twimg.com/media/E7hOeBqXsAItyQF?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1420972003213856772,"Jul 29, 2021",85,263,3.2K,
BLACK OPAL,https://pbs.twimg.com/media/E7b6-iWX0AY4Wv8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1420599146348793857,"Jul 28, 2021",127,516,5.4K,
REAL ART,https://pbs.twimg.com/media/E7W5iy5WYAINJoY?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1420245436632338436,"Jul 27, 2021",231,609,7.7K,
GROWTH,https://pbs.twimg.com/media/E7RnckxXoAEmk3g?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1419873567152484362,"Jul 26, 2021",123,117,2.6K,
PUMPING,https://pbs.twimg.com/media/E7Mn6mqXoAInjaL?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1419522441584553984,"Jul 25, 2021",82,282,3.3K,
GIRLBOSS,https://pbs.twimg.com/media/E7HeMArWQAY0DWN?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1419159748495257600,"Jul 24, 2021",113,171,2.5K,
POST-HUMAN GROWTH,https://pbs.twimg.com/media/E7CS4BZWUAsl7Ni?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1418796020931207172,"Jul 23, 2021",96,322,3.5K,
and people say NFT’s have no utility….,,@beeple,https://twitter.com/beeple/status/1418665082670788609,"Jul 23, 2021",94,37,485,
,https://pbs.twimg.com/media/E62TIEBXIBAIJr7?format=png&name=small,@beeple,https://twitter.com/beeple/status/1418193314189385730,"Jul 22, 2021",20,39,286,
SUNRISE,https://pbs.twimg.com/media/E689QmbWQAI5RQz?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1418420067600146432,"Jul 22, 2021",69,147,2.2K,
THE RAFT OF THE MEDUSA,https://pbs.twimg.com/media/E630FFsXMAIVUGk?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1418058007989084165,"Jul 21, 2021",107,234,2.7K,
CUTE BABY TROLL,https://pbs.twimg.com/media/E6tf4vxXsA8EN7R?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1417332526855729181,"Jul 19, 2021",53,133,1.9K,
BRAIN BEAST,https://pbs.twimg.com/media/E6oP8LvXoAEpJZS?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1416963007549149188,"Jul 18, 2021",98,259,3K,
DIRECT LIGHT,https://pbs.twimg.com/media/E6iTqy2X0AMjwlu?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1416544581722775554,"Jul 17, 2021",111,613,6.7K,
DARK SIDE OF THE MOON,https://pbs.twimg.com/media/E6dK2nEXIAIZbuA?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1416183084316336134,"Jul 16, 2021",67,204,2.5K,
MACHINE LEARNING,https://pbs.twimg.com/media/E6Y6ZCnXMAo2Vc6?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1415883604941541378,"Jul 15, 2021",108,418,4.7K,
HYPER DIFFUSED,https://pbs.twimg.com/media/E6TsWfGWYAE6zHA?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1415516166861242369,"Jul 14, 2021",61,234,3K,
Hahahhaha fucking a. I tried to get one too. ,https://pbs.twimg.com/media/E6R3FEmWUAEoZLX?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1415387118503878657,"Jul 14, 2021",119,27,657,
"THREE MINUTES!!!!!!!!! 

HOLY FUCK AND OR SHIT !!!!!!!!!!!!11111111111111111111111111",,@beeple,https://twitter.com/beeple/status/1415385050426888201,"Jul 14, 2021",111,30,355,
"EDITION OF 333 _  $69.42 !!!!!

3PM EST _ ",,@beeple,https://twitter.com/beeple/status/1415354057611522048,"Jul 14, 2021",51,54,569,
ENVY,https://pbs.twimg.com/media/E6OnS77XMAAt6H3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1415158702760411138,"Jul 13, 2021",72,162,2.5K,
ALGORITHM WORSHIP,https://pbs.twimg.com/media/E6Jd21JWYAAugE-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1414796526421954561,"Jul 12, 2021",130,557,5K,
