Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
,https://pbs.twimg.com/media/E5K7lcTVgAICttn?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1410436080919191553,"Jun 30, 2021",13,18,305,
BEACON,https://pbs.twimg.com/media/E5Lfr0tVcAYxoqb?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1410435739360268289,"Jun 30, 2021",84,214,2.8K,
THIS FRIDAY ,,@beeple,https://twitter.com/beeple/status/1410390954410799107,"Jun 30, 2021",16,24,180,
NUCLEAR BLOOM,https://pbs.twimg.com/media/E5F9JRTVcAA7M2X?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1410046118461722624,"Jun 29, 2021",64,246,3K,
WEAPONIZED NATURE,https://pbs.twimg.com/media/E5Ab8l0UcAEYjbe?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1409657456720900097,"Jun 28, 2021",69,134,2.1K,
DEATH STAR,https://pbs.twimg.com/media/E48NoP0XoAE-JRZ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1409360229930766337,"Jun 27, 2021",129,544,6.5K,
SALVATOR MUNDI V2,https://pbs.twimg.com/media/E43EpfnWQAQj5Wd?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1408998481386164228,"Jun 26, 2021",72,168,2.3K,
ok well I’m Sorry that’s frigg’n sweet as hell.  ,,@beeple,https://twitter.com/beeple/status/1408953901395726337,"Jun 26, 2021",22,36,514,
BABY TECHNOLORD,https://pbs.twimg.com/media/E4x6pZRX0AI_CLv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1408635909445201926,"Jun 25, 2021",56,123,1.8K,
HUGE honor to have ,,@beeple,https://twitter.com/beeple/status/1408068513353199621,"Jun 24, 2021",28,13,203,
very excited to announce the launch of ,,@beeple,https://twitter.com/beeple/status/1408055272837468160,"Jun 24, 2021",84,258,1.1K,
PHOTON FEEDING,https://pbs.twimg.com/media/E4sw3cZWYAIFxy8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1408273138367016960,"Jun 24, 2021",80,201,3.1K,
SHREK REBOOT,,@beeple,https://twitter.com/beeple/status/1407547622378901508,"Jun 22, 2021",117,236,2.7K,
