Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
JONGAPILLAR,https://pbs.twimg.com/media/FPNlWLrXEAk5Zes?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1509661932390920194,"Mar 31, 2022",121,145,1.5K,
BEAUCRACY 2098,https://pbs.twimg.com/media/FPJkXqBWQAMg9gj?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1509379726573514754,"Mar 30, 2022",97,266,3.2K,
NEW NORMAL,,@beeple,https://twitter.com/beeple/status/1509017344315637761,"Mar 29, 2022",106,200,2.5K,
NEURAL NET,https://pbs.twimg.com/media/FO-7ZTkXMAU1Isu?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1508630912581447683,"Mar 28, 2022",76,205,2.5K,
Oof!!! Such a massive honor being photographed by ,https://pbs.twimg.com/media/FO-nz74XIAERBhx?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1508608914748846085,"Mar 28, 2022",38,45,1K,
 physical included ,,@beeple,https://twitter.com/beeple/status/1508241816562266115,"Mar 27, 2022",49,60,703,
ALL THAT GLITTERS,https://pbs.twimg.com/media/FO54dGZVgAE3ULx?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1508275619649359873,"Mar 27, 2022",106,256,2.7K,
CONGREGATE,https://pbs.twimg.com/media/FO0qPICVgAE5Ip2?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1507907961246547970,"Mar 26, 2022",117,296,3.4K,
"In October 2020 weeks before the election as part of my genesis drop I released an edition of 100 for $1 called “POLITICS IS BULLSHIT”.  This did not include a physical.  

until now…",,@beeple,https://twitter.com/beeple/status/1507776433128501248,"Mar 26, 2022",109,250,1.7K,
LOS ANGELES 2322,https://pbs.twimg.com/media/FOyUKAuUYAUe1Ff?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1507742878793027584,"Mar 26, 2022",133,359,3.6K,
HAHAHHAHAHAHHAHAHA ,,@beeple,https://twitter.com/beeple/status/1507139419098263558,"Mar 24, 2022",102,145,1.2K,
"LOLOLOLOLOL what in the god damn hell?!?!?   HAHAHHAHAHAHAH!!! 

",,@beeple,https://twitter.com/beeple/status/1507131245691641873,"Mar 24, 2022",38,59,198,
FUCK YES!!!!!  ,https://pbs.twimg.com/media/FOaKc7rX0AMKw62?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1506981721283219461,"Mar 24, 2022",29,50,354,
BLEEDING HEART,,@beeple,https://twitter.com/beeple/status/1506840709680279559,"Mar 23, 2022",163,544,5.3K,
,,@beeple,https://twitter.com/beeple/status/1506831721785962502,"Mar 23, 2022",11,37,123,
10KTF ,https://pbs.twimg.com/media/FOkltptWQAgavH-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1506802975318192128,"Mar 23, 2022",67,113,590,
,,@beeple,https://twitter.com/beeple/status/1506631924978180097,"Mar 23, 2022",63,34,183,
GOLDEN RATIO,https://pbs.twimg.com/media/FOgYCEwXEAALmLK?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1506480642497957889,"Mar 22, 2022",109,263,2.9K,
"Hey all, had a great time speaking with the ",,@beeple,https://twitter.com/beeple/status/1506435451359485958,"Mar 22, 2022",50,100,479,
i will be speaking at this on saturday in LA!!   woo woo!!   see you there!!!!!!!!!!  ,,@beeple,https://twitter.com/beeple/status/1506356235960004612,"Mar 22, 2022",41,69,289,
,,,,,,,,
HUMAN GARBAGE,https://pbs.twimg.com/media/FOVcZDUXMA4s_Lc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1505711384935477250,"Mar 20, 2022",204,745,6.4K,
BLINDED BY COLOR,https://pbs.twimg.com/media/FOatyklXwAQbkOm?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1506082289327001607,"Mar 21, 2022",138,428,3.9K,
MUSE,https://pbs.twimg.com/media/FOQ7COuXMAYiBUy?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1505393462438469636,"Mar 19, 2022",165,563,6.6K,
DIGITAL GHOST,https://pbs.twimg.com/media/FOLXIDCXsAoaVFk?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1505002284006223872,"Mar 18, 2022",122,288,3.1K,
WE USED TO BE GIANTS,https://pbs.twimg.com/media/FOGn5BDXIAA3IW0?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1504668409518247936,"Mar 17, 2022",142,410,4.6K,
OOPS,https://pbs.twimg.com/media/FOA9Mc8WUAQGzVB?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1504269673109540870,"Mar 16, 2022",108,239,2.9K,
,https://pbs.twimg.com/media/FOAapy8VkAAxQHY?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1504239264158081026,"Mar 16, 2022",32,67,302,
FOREVER PATH,https://pbs.twimg.com/media/FN8U29CXwAMV7g2?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1503943911378759682,"Mar 15, 2022",92,142,1.9K,
3 HOURS LEFT ,https://pbs.twimg.com/media/FN-j9csXsAYsAD3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1504101079499350019,"Mar 16, 2022",97,160,778,
