Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
"hey all!   we're trying to get a rough head count for the opening, please RSVP if you plan on attending!!!  excited to see everyone this Thursday!!!!!!!!!  ",,@beeple,https://twitter.com/beeple/status/1498719596794322952,"Mar 1, 2022",47,52,190,
REFLECTIONS ON DEATH,https://pbs.twimg.com/media/FMvd4xeXoAIJu27?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1498535295867834370,"Feb 28, 2022",64,186,2.3K,
 THIS THURSDAY // NYC,,@beeple,https://twitter.com/beeple/status/1498404955526504452,"Feb 28, 2022",44,121,890,
BROKEN REALITY,https://pbs.twimg.com/media/FMqJO41XIAM1jjQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1498160901190520832,"Feb 27, 2022",130,353,3.9K,
" 

nadya is a fucking BEAST. ",https://pbs.twimg.com/media/FMipEFwXEAE248l?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1498088285897437191,"Feb 27, 2022",36,73,432,
ABJECT HUMANITY,https://pbs.twimg.com/media/FMf1MMnXEAEiBqz?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1497435125302321152,"Feb 25, 2022",82,296,3.1K,
STAND WITH UKRAINE,https://pbs.twimg.com/media/FMarqp_X0AA5g8f?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1497072979196399635,"Feb 24, 2022",419,3.4K,21K,
03.03.22 ///////// JACK HANLEY GALLERY ///////// NYC,,@beeple,https://twitter.com/beeple/status/1496502423703146504,"Feb 23, 2022",61,138,931,
EYES WIDE OPEN,https://pbs.twimg.com/media/FMVi6AlWUAIGwGQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1496711323144622083,"Feb 23, 2022",116,459,4.4K,
PAST DREAMS,https://pbs.twimg.com/media/FMQY3yBWUAIRaVh?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1496348868103090177,"Feb 22, 2022",118,362,4K,
WAR,https://pbs.twimg.com/media/FMLPx_1XMAAO3cP?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1495986509748572162,"Feb 21, 2022",251,924,7.5K,
FAKE HUMAN,https://pbs.twimg.com/media/FMFtfmmWUAQIoaY?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1495597298029670402,"Feb 20, 2022",152,418,4.4K,
WHITEOUT,https://pbs.twimg.com/media/FMA7_1OXEAcfZrR?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1495261493209800705,"Feb 19, 2022",108,279,3.1K,
TECH STACK,https://pbs.twimg.com/media/FL7yuqhWUAEXK-D?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1494899082153930754,"Feb 18, 2022",143,424,4K,
