Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
KANYE VS. SBF to determine who is biggest piece of shit ,https://pbs.twimg.com/media/Fi7eXXNWAAwf_Ko?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1598459418617716737,"Dec 1, 2022",680,1.6K,10K,
BASEL 2022,https://pbs.twimg.com/media/Fi2i4nUXoAEa4A8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1598112547781349376,"Nov 30, 2022",168,405,3.3K,
"So pumped for this opening next week in Hong Kong such and insane honor to be in this iconic institution, come say hi!!!! ",,@beeple,https://twitter.com/beeple/status/1598092828558905344,"Nov 30, 2022",14,18,163,
THE WHALE,https://pbs.twimg.com/media/FixGWpTWAAE2ifK?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1597729329752215552,"Nov 29, 2022",141,222,2.2K,
CYBER MONDAY,https://pbs.twimg.com/media/FitKkOsXkAALNtN?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1597452889471209472,"Nov 28, 2022",94,210,2.1K,
NEXT BLOCK,https://pbs.twimg.com/media/FiiQCjPXkAApIjw?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1596684568962420737,"Nov 26, 2022",77,203,1.3K,
GOOD AND BAD,https://pbs.twimg.com/media/Finhxu7WQAAhjTX?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1597055833934008320,"Nov 27, 2022",56,154,1.4K,
TWITTER 2092,https://pbs.twimg.com/media/Fidv7bBWIAA9Hlz?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1596367927145598977,"Nov 25, 2022",177,855,5.8K,
Could not be more thankful for the opportunity to debut this work in such an iconic music alongside a giant of 20th century art.  Sad to see this show come to a close but insanely pumped to see it reborn again at M+ In Hong Kong next month. ,https://pbs.twimg.com/media/FiZWDQMWQAM0l7x?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1596178412292407305,"Nov 25, 2022",18,17,238,
THE FIRST THANKSGIVING,https://pbs.twimg.com/media/FiYIasGXwAIydCH?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1595972377623822336,"Nov 24, 2022",93,242,2.1K,
Appreciate the kind words sers!!  Pumped to bring together artists and communities!!,,@beeple,https://twitter.com/beeple/status/1596171227563008000,"Nov 25, 2022",16,10,126,
HAPPY THANKSGIVING FROM FTX!! ,,@beeple,https://twitter.com/beeple/status/1595642702963834881,"Nov 23, 2022",686,992,6.9K,
TRUE LIES,https://pbs.twimg.com/media/FiOTE-ZXkAIdYRa?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1595281012174557184,"Nov 22, 2022",96,241,2.2K,
NEW REALITY,https://pbs.twimg.com/media/FiJIzBcWAAAZAbf?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1594917339006484481,"Nov 21, 2022",134,326,2.7K,
thanks much to ,,@beeple,https://twitter.com/beeple/status/1594740806291755010,"Nov 21, 2022",17,28,238,
MASTADON,https://pbs.twimg.com/media/FiDgGgVXoAE6vbP?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1594520743261478917,"Nov 20, 2022",58,156,1.4K,
the circle of life is complete… ,https://pbs.twimg.com/media/FgR_RSiWQAMMUfc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1594371438546661378,"Nov 20, 2022",83,229,2.6K,
TETHER,https://pbs.twimg.com/media/Fh9jCWmWAAI-8Kk?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1594101715439321088,"Nov 19, 2022",795,2.3K,17K,
big night for digital art. Massive congrats to the homie ,https://pbs.twimg.com/media/Fh6OJkqXwAAGcdz?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1593867937563156480,"Nov 19, 2022",29,48,507,
EVERYTHING IS INTERCONNECTED,https://pbs.twimg.com/media/Fh4a2PhXgAAUqpV?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1593740892145344512,"Nov 18, 2022",140,376,2.5K,
HARDCORE,https://pbs.twimg.com/media/Fh0iw0gXkAIWKWy?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1593468118977880065,"Nov 17, 2022",274,939,7.2K,
"Could not be more grateful to have such a thoughtful and enthusiastic partner for this work.  As this piece will continue to evolve, I am so thankful to have someone who understands the vision of this journey we’re on together!!! ",,@beeple,https://twitter.com/beeple/status/1593339432790368262,"Nov 17, 2022",17,30,285,
MACRO-DATA REFINEMENT,https://pbs.twimg.com/media/FhvX9MiWIAEyo2K?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1593104345465516032,"Nov 16, 2022",77,168,1.5K,
when you just stole $10B...,,@beeple,https://twitter.com/beeple/status/1592530229503098880,"Nov 15, 2022",164,316,2.9K,
HE'S BACK,https://pbs.twimg.com/media/FhqQQUNWAAAs87y?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1592744065216675840,"Nov 15, 2022",339,701,6.9K,
ALL EMOTION,https://pbs.twimg.com/media/FhlBgpbXkAE9prC?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1592375979435257856,"Nov 14, 2022",108,362,2.9K,
that moment you realize the metaverse might not be yer thing. ,,@beeple,https://twitter.com/beeple/status/1592241416243134465,"Nov 14, 2022",167,135,2K,
,https://pbs.twimg.com/media/Fhh-aYgXkAQiEya?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1592177449638727683,"Nov 14, 2022",34,60,641,
LFG ,,@beeple,https://twitter.com/beeple/status/1592159596554117126,"Nov 14, 2022",51,71,557,
FTX BOARD MEETING,,@beeple,https://twitter.com/beeple/status/1592016539318120448,"Nov 13, 2022",1.8K,2.9K,17K,
