Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
just a couple happy baby goats enjoying a lollipop in a dewy meadow ,https://pbs.twimg.com/media/FgcyCYZXgAEVwce?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1587292415559450624,"Oct 31, 2022",276,259,2.4K,
Great question ,,@beeple,https://twitter.com/beeple/status/1587230862608945152,"Oct 31, 2022",63,8,216,
no going back now...,,@beeple,https://twitter.com/beeple/status/1587153851114725377,"Oct 31, 2022",28,31,351,
gm,,@beeple,https://twitter.com/beeple/status/1587060768251445249,"Oct 31, 2022",453,176,3.4K,
REAL LIFE CRYPTODICKBUTT,,@beeple,https://twitter.com/beeple/status/1586897188222803968,"Oct 30, 2022",2K,926,5.4K,
cool room.,https://pbs.twimg.com/media/FgNVykdWAAAB-XQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1586205826330800129,"Oct 28, 2022",121,237,2.4K,
(making of last night's everyday) ,,@beeple,https://twitter.com/beeple/status/1585993977647738887,"Oct 28, 2022",57,163,1.1K,
TWITTER ACQUIRED ,https://pbs.twimg.com/media/FgIMM10XgAE9P2j?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1585843622741962753,"Oct 27, 2022",1K,7.7K,57K,
WINTER IS COMING,https://pbs.twimg.com/media/FgR_RSiWQAMMUfc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1586534963230306304,"Oct 29, 2022",502,1.6K,13K,
,,@beeple,https://twitter.com/beeple/status/1585794997521387521,"Oct 27, 2022",20,31,292,
new studio in the WSJ!!,,@beeple,https://twitter.com/beeple/status/1585627974988095488,"Oct 27, 2022",60,72,507,
RESISTANCE LEVEL,https://pbs.twimg.com/media/FgDCIl8WAAEAOF8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1585480527125037058,"Oct 26, 2022",37,112,1K,
GLUEY HANDS,https://pbs.twimg.com/media/Ff9DnbyVsAA16B9?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1585059942633205760,"Oct 25, 2022",57,183,1.3K,
SPOOKTOBERWEEN DAY,https://pbs.twimg.com/media/Ff5YwUqUAAAR_lU?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1584801709913538560,"Oct 25, 2022",108,418,2.7K,
great time with the homie ,https://pbs.twimg.com/media/Ff486_7VQAAZtnr?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1584771107202117632,"Oct 24, 2022",27,11,331,
,https://pbs.twimg.com/media/Ff4Zj3dVIAEXEIv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1584748695605501952,"Oct 24, 2022",35,62,354,
HOPIUM OVERDOSE,https://pbs.twimg.com/media/FfzA66uWYAASm3M?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1584353627569029121,"Oct 23, 2022",63,177,1.5K,
EMOJI BREEDING,https://pbs.twimg.com/media/FfuLJGEWIAEKLzK?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1584013789506113536,"Oct 22, 2022",283,696,5.7K,
WHAT HAVE WE CREATED?!,https://pbs.twimg.com/media/FfnXb0YXgAM0L5r?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1583533703271452673,"Oct 21, 2022",122,241,1.7K,
75% OF TWITTER,https://pbs.twimg.com/media/FfkCN6KWYAEpL06?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1583299314272518144,"Oct 20, 2022",288,883,6.9K,
*as seen on the Joe Rogan show* ,https://pbs.twimg.com/media/FfdJwZUWYAAnlMr?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1582894144854249472,"Oct 19, 2022",35,55,661,
GENERATIVE ART,https://pbs.twimg.com/media/Ffemw4GXgAEyGD7?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1582917249471746049,"Oct 19, 2022",93,268,2.2K,
ALPHA,https://pbs.twimg.com/media/FfZ1hC9WIAA8l3r?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1582586096034402304,"Oct 18, 2022",185,456,3.2K,
not even jpegs safe ,https://pbs.twimg.com/media/FfYMvTkWYBArbwT?format=png&name=small,@beeple,https://twitter.com/beeple/status/1582493668254310400,"Oct 18, 2022",59,175,973,
,https://pbs.twimg.com/media/FfZFuUIXkAAkF7b?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1582528985623560192,"Oct 18, 2022",31,12,246,
BEAR MARKET,https://pbs.twimg.com/media/FfUUNJMXoAAtoMD?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1582193099136462848,"Oct 17, 2022",288,859,5.5K,
NUCLEAR THREAT,https://pbs.twimg.com/media/FfPIv0HWYAUlqcc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1581828740694216705,"Oct 16, 2022",105,285,2.4K,
PROBLEM SOLVED!! ,https://pbs.twimg.com/media/FfKU0XzXoAAPmd4?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1581490050872664065,"Oct 15, 2022",472,2.3K,18K,
END OF AN EMPIRE,https://pbs.twimg.com/media/FfFKtWtXkAA-MRg?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1581127638239748097,"Oct 14, 2022",163,349,3.1K,
SLOW AND STEADY,https://pbs.twimg.com/media/FfAFnqaXgAA3dtN?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1580769725105086464,"Oct 13, 2022",90,209,1.5K,
BULLISH AF on anything ,,@beeple,https://twitter.com/beeple/status/1580701791070527489,"Oct 13, 2022",36,108,642,
gm af,,@beeple,https://twitter.com/beeple/status/1580702526126534656,"Oct 13, 2022",78,27,351,
now is the time to BUILD. ,,@beeple,https://twitter.com/beeple/status/1580568728097689601,"Oct 13, 2022",695,1.4K,7.1K,
VERTICAL FUTURE,https://pbs.twimg.com/media/Fe67mNSXoAEXoh5?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1580407070569873409,"Oct 12, 2022",72,194,1.6K,
,https://pbs.twimg.com/media/Fe1rgKPXgAAbTov?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1580037249151864834,"Oct 11, 2022",125,223,1.9K,
