Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
UNINTENDED CONSEQUENCES W/ ,https://pbs.twimg.com/media/FKkPkctX0AMbWAp?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1488738599814283266,"Feb 1, 2022",91,261,1.9K,
"my mom swinging a hammer at the groundbreaking for the gallery we’re building here in Charleston…

exciting times ahead. ",,@beeple,https://twitter.com/beeple/status/1488185853058891780,"Jan 31, 2022",163,149,2K,
BACKBONE,https://pbs.twimg.com/media/FKZu1JOXoAgjEVd?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1487998614496595975,"Jan 30, 2022",84,114,1.6K,
DORITO KING,https://pbs.twimg.com/media/FKUzADNWQAEg_Xu?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1487651566563770368,"Jan 29, 2022",115,222,2.9K,
DIPLOMATIC IMMUNITY,https://pbs.twimg.com/media/FKPnvEpX0AAO-7a?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1487288666288447488,"Jan 28, 2022",170,650,5.8K,
,https://pbs.twimg.com/media/FKIINCUVIAEFcQP?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1486761282653016069,"Jan 27, 2022",40,83,337,
just a heads up on the project one of my buddies has been jamming on.  feel like this could really be a great way to have ownership in blue chip art in a way that focuses on STEWARDSHIP of the artwork versus just speculation...,,@beeple,https://twitter.com/beeple/status/1487182977188646917,"Jan 28, 2022",68,275,713,
FUNGI-BLE,https://pbs.twimg.com/media/FKFWS83XsAAry7I?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1486564288043134976,"Jan 26, 2022",302,905,8.2K,
REFLECTIVE ONE,https://pbs.twimg.com/media/FKAMLiXX0AATRPG?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1486201458131451904,"Jan 25, 2022",194,298,3.5K,
"

great article about ""DICK MILKING FACTORY"" as the complex financial instrument it was always meant to be. 

",,@beeple,https://twitter.com/beeple/status/1485682671468564487,"Jan 24, 2022",19,28,197,
GREY AREA,https://pbs.twimg.com/media/FJ14xqOXoAIomw5?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1485476330523271168,"Jan 23, 2022",149,311,3.8K,
