Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
LOLOLOLOL!!! great write up on ,https://pbs.twimg.com/media/FWnRcHfXEAIWfdz?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1542994632451280898,"Jul 1, 2022",37,66,393,
FACTS,https://pbs.twimg.com/media/FWlC23fWYAAg7vQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1542837869856714752,"Jul 1, 2022",209,389,2.1K,
,https://pbs.twimg.com/media/FWiB2PvXgAIVtag?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1542657905278713857,"Jun 30, 2022",30,52,283,
NULL POINTER,https://pbs.twimg.com/media/FWeM-tuWIAEb2-l?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1542357105289707521,"Jun 29, 2022",94,178,2.1K,
ONLINE DISCUSSION,https://pbs.twimg.com/media/FWZCWr8WIAIgXpt?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1541993095218307073,"Jun 28, 2022",148,448,4K,
IMMORTAL DEGEN,https://pbs.twimg.com/media/FWT5muIX0AAcGN_?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1541631687007903744,"Jun 27, 2022",186,407,3.8K,
FIFTEEN MINUTES LEFT!!!!!!,,@beeple,https://twitter.com/beeple/status/1541810134816624641,"Jun 28, 2022",43,39,295,
.,,@beeple,https://twitter.com/beeple/status/1541529542740922377,"Jun 27, 2022",26,42,202,
SPIDER-YEEZY 2094,https://pbs.twimg.com/media/FWOcOejXwAIgU0i?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1541247314567782401,"Jun 26, 2022",146,295,3.5K,
TOUGH PILL,https://pbs.twimg.com/media/FWJD0m2XwAE5aR-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1540870060939640832,"Jun 25, 2022",138,299,3.3K,
DEEP SADNESS,https://pbs.twimg.com/media/FWDR9I8WAAAV2pc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1540462142813609986,"Jun 24, 2022",100,254,2.4K,
,,@beeple,https://twitter.com/beeple/status/1540307816396759040,"Jun 24, 2022",58,89,614,
GOLDEN RATIO TIMELINE 7,https://pbs.twimg.com/media/FV99daRXkAEqo2C?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1540087810140651521,"Jun 23, 2022",82,221,2K,
,,@beeple,https://twitter.com/beeple/status/1540077917585162246,"Jun 23, 2022",28,50,257,
6009.V2 COMPLX MONKEY ATTRACTOR,https://pbs.twimg.com/media/FV5Nk0gWQAEB2dz?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1539753978346573824,"Jun 22, 2022",205,297,3K,
MAPS 2087 +++ ,https://pbs.twimg.com/media/FVzL-DkUcAAkX7I?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1539329705966546944,"Jun 21, 2022",83,185,1.8K,
 OOF. ,,@beeple,https://twitter.com/beeple/status/1539269208407740417,"Jun 21, 2022",130,178,1.5K,
FOURTY ONE YEARS,https://pbs.twimg.com/media/FVusS3-WQAAWZsY?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1539013282572427268,"Jun 20, 2022",64,79,1.2K,
GATEKEEPERS,https://pbs.twimg.com/media/FVpew8pWIAMSQLK?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1538646600288985088,"Jun 19, 2022",85,137,1.6K,
NYC!!!!!!!!   super pumped for ,,@beeple,https://twitter.com/beeple/status/1538545316873527304,"Jun 19, 2022",214,81,765,
HODL,https://pbs.twimg.com/media/FVlfJx0WAAAL-2y?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1538366741839073280,"Jun 18, 2022",230,640,5.9K,
Had an amazing time this week in Basel and documenta with ,https://pbs.twimg.com/media/FVkBL9mX0AUUJt3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1538262060173250563,"Jun 18, 2022",50,44,546,
DOCUMENTA FIFTEEN,https://pbs.twimg.com/media/FVY4P3MWIAAJM1_?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1537478275227963392,"Jun 16, 2022",90,162,1.9K,
EMPEROR'S CLOTHES DISINTEGRATING,https://pbs.twimg.com/media/FVeQIcMWQAAI63a?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1537856685838041088,"Jun 17, 2022",73,146,1.5K,
.,,@beeple,https://twitter.com/beeple/status/1537160542590222340,"Jun 15, 2022",580,1.2K,10K,
,https://pbs.twimg.com/media/FVTiegQUAAc4Nav?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1537102396400103425,"Jun 15, 2022",348,183,1.5K,
FIVE HUNDRED YEAR PLAN,https://pbs.twimg.com/media/FVO1D3gWUAAU2ae?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1536771128903053313,"Jun 14, 2022",107,213,2.1K,
ART BASEL,https://pbs.twimg.com/media/FVJvzU7XoAAjrF2?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1536413438347460616,"Jun 13, 2022",162,432,4.6K,
DIP,https://pbs.twimg.com/media/FVGYIfxWUAEYnYN?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1536176228096430080,"Jun 12, 2022",130,302,3.5K,
on way to art basel in Switzerland for first time.  ,https://pbs.twimg.com/media/FVGTfk2XoAEyN-O?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1536171124232536064,"Jun 12, 2022",87,69,1.9K,
PV2,https://pbs.twimg.com/media/FVBXpehXEAcEqlp?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1535823961245814784,"Jun 11, 2022",152,162,1K,
sherktown.wtfnotrealurlnotrealprojectjustafuckingjokedon'tbestupid,https://pbs.twimg.com/media/FU8YIGCWIAAaA6r?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1535472759475683329,"Jun 10, 2022",181,276,2.8K,
 iykyk ,,@beeple,https://twitter.com/beeple/status/1535365346894528512,"Jun 10, 2022",206,122,469,
RUG SUMMER BEGINS...,https://pbs.twimg.com/media/FU3MzvbXEBI4K7-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1535108371505942529,"Jun 9, 2022",187,334,3.2K,
OOF!!!  ,,@beeple,https://twitter.com/beeple/status/1535432679495114752,"Jun 10, 2022",30,42,310,
"LOLOLOL!!! you sir are truly a legend!!!1
",,@beeple,https://twitter.com/beeple/status/1535057609635418112,"Jun 9, 2022",134,83,1K,
"IT RUBS THE LOTION ON THE DEGENS
",https://pbs.twimg.com/media/FUyC8x5XoAAog7L?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1534745656589438977,"Jun 8, 2022",288,300,2.9K,
HAHAHAHAH!!  ,https://pbs.twimg.com/media/FUvQT4sVEAAOm_D?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1534595419937849345,"Jun 8, 2022",23,33,307,
FREE MINT,https://pbs.twimg.com/media/FUs6C3FWAAAwEU7?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1534384205114789888,"Jun 7, 2022",1K,1.7K,13K,
,,,,,,,,
LOLOLOL  -  huge thanks to ,,@beeple,https://twitter.com/beeple/status/1534309049319280640,"Jun 7, 2022",71,44,652,
SELF-DOUBT,https://pbs.twimg.com/media/FUnwblrX0AEmwoZ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1534021930990305281,"Jun 6, 2022",162,521,4.2K,
"nothing wrong with buying whatever makes you happy but some people are trying to build things that have zero to do with hype. 

picasso is not hype-only, rembrandt is not hype-only, duchamp is not hype-only. 

find people thinking long term if you don't want hype-based NFTs. ",https://pbs.twimg.com/media/FUqxLUtXoAEY4TT?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1534244060596166659,"Jun 7, 2022",173,236,1K,
YESSSSSSS.  ,,@beeple,https://twitter.com/beeple/status/1533998961664708609,"Jun 6, 2022",67,92,720,
GREEBLE PORNOGRAPHY,https://pbs.twimg.com/media/FUinAmzWQAA-Ktx?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1533659402712109056,"Jun 5, 2022",57,98,1.2K,
,https://pbs.twimg.com/media/FUeJN59XEAApgds?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1533346383792685056,"Jun 5, 2022",95,166,1K,
THE RISE AND FALL OF GOBLINTOWN ,https://pbs.twimg.com/media/FUdUNCgXoAEILd1?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1533295753241698304,"Jun 4, 2022",517,812,5.2K,
NEW PLAYING FIELD,https://pbs.twimg.com/media/FUYTXreWUAAsvL3?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1532934111098183680,"Jun 3, 2022",69,116,1.4K,
"calling bullshit on a insanely powerful new tool that we have just STARTED to explore seems extremely premature and naïve.  

just because YOU have not YET seen art that appeals to you with a new tool does not mean that art is impossible to make... ",https://pbs.twimg.com/media/FUNKJxOUYAAqCBv?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1532921458040745984,"Jun 3, 2022",81,123,769,
MANUFACTURED EMOTION,https://pbs.twimg.com/media/FUOAVE8WAAAZwl-?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1532210038403637251,"Jun 1, 2022",109,383,3.6K,
,,@beeple,https://twitter.com/beeple/status/1532724346745143296,"Jun 3, 2022",70,105,757,
OCCULAR DEGENERATION,https://pbs.twimg.com/media/FUI3LUhXsAAkjen?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1531847767517175808,"May 31, 2022",121,231,2.3K,
